num, diff, time, interval, avg,malicious
3,26960470,1498812447,42,42,0
4,26947306,1498812463,16,29,0
5,26934149,1498812548,85,47.66666667,0
6,26947300,1498812556,8,37.75,0
7,26934143,1498812573,17,33.6,0
8,26920992,1498812609,36,34,0
9,26907847,1498812647,38,34.57142857,0
10,26894709,1498812669,22,33,0
11,26907841,1498812679,10,30.44444444,0
12,26920979,1498812681,2,27.6,0
13,26934124,1498812691,10,24.4,0
14,26947275,1498812692,1,22.9,0
15,26960432,1498812701,9,15.3,0
16,26947268,1498812724,23,16.8,0
17,26960425,1498812727,3,15.4,0
18,26973589,1498812730,3,12.1,0
19,26960419,1498812789,59,14.2,0
20,26973583,1498812798,9,12.9,0
21,26986753,1498812806,8,12.7,0
22,26973576,1498812829,23,14.8,0
23,26986746,1498812838,9,14.7,0
24,26999923,1498812849,11,15.7,0
25,27013106,1498812856,7,15.5,0
26,26999917,1498812870,14,14.6,0
27,26986734,1498812906,36,17.9,0
28,26999911,1498812910,4,18,0
29,27013094,1498812919,9,13,0
30,27026283,1498812930,11,13.2,0
31,27039479,1498812935,5,12.9,0
32,27052681,1498812947,12,11.8,0
33,27039472,1498812967,20,12.9,0
34,27026270,1498812991,24,14.2,0
35,27039466,1498812998,7,14.2,0
36,27052668,1498813001,3,13.1,0
37,27065877,1498813011,10,10.5,0
38,27052662,1498813033,22,12.3,0
39,27039453,1498813047,14,12.8,0
40,27052655,1498813054,7,12.4,0
41,27039446,1498813074,20,13.9,0
42,27026244,1498813113,39,16.6,0
43,27039440,1498813122,9,15.5,0
44,27026238,1498813155,33,16.4,0
45,27039434,1498813164,9,16.6,0
46,27052636,1498813174,10,17.3,0
47,27065845,1498813185,11,17.4,0
48,27079060,1498813192,7,15.9,0
49,27065838,1498813214,22,16.7,0
50,27052623,1498813240,26,18.6,0
51,27039414,1498813276,36,20.2,0
52,27052616,1498813281,5,16.8,0
53,27039407,1498813303,22,18.1,0
54,27026205,1498813319,16,16.4,0
55,27039401,1498813326,7,16.2,0
56,27026199,1498813343,17,16.9,0
57,27039395,1498813347,4,16.2,0
58,27052597,1498813358,11,16.6,0
59,27065806,1498813365,7,15.1,0
60,27052591,1498813379,14,13.9,0
61,27065800,1498813385,6,10.9,0
62,27079015,1498813386,1,10.5,0
63,27065793,1498813431,45,12.8,0
64,27079008,1498813440,9,12.1,0
65,27092230,1498813448,8,12.2,0
66,27105458,1498813449,1,10.6,0
67,27118693,1498813452,3,10.5,0
68,27105452,1498813465,13,10.7,0
69,27118687,1498813471,6,10.6,0
70,27131928,1498813474,3,9.5,0
71,27145176,1498813481,7,9.6,0
72,27158430,1498813491,10,10.5,0
73,27145170,1498813543,52,11.2,0
74,27131916,1498813594,51,15.4,0
75,27118668,1498813608,14,16,0
76,27105427,1498813623,15,17.4,0
77,27092192,1498813656,33,20.4,0
78,27105420,1498813665,9,20,0
79,27092185,1498813679,14,20.8,0
80,27105413,1498813681,2,20.7,0
81,27092178,1498813708,27,22.7,0
82,27105406,1498813716,8,22.5,0
83,27118641,1498813725,9,18.2,0
84,27131882,1498813735,10,14.1,0
85,27118635,1498813764,29,15.6,0
86,27131876,1498813770,6,14.7,0
87,27118629,1498813809,39,15.3,0
88,27105388,1498813823,14,15.8,0
89,27118623,1498813835,12,15.6,0
90,27131864,1498813840,5,15.9,0
91,27118617,1498813853,13,14.5,0
92,27131858,1498813856,3,14,0
93,27145105,1498813863,7,13.8,0
94,27131851,1498813900,37,16.5,0
95,27118604,1498813926,26,16.2,0
96,27131845,1498813928,2,15.8,0
97,27145092,1498813935,7,12.6,0
98,27158346,1498813939,4,11.6,0
99,27171606,1498813945,6,11,0
100,27158339,1498813960,15,12,0
101,27145079,1498813977,17,12.4,0
102,27158333,1498813980,3,12.4,0
103,27171593,1498813987,7,12.4,0
104,27158326,1498814018,31,11.8,0
105,27145066,1498814041,23,11.5,0
106,27158320,1498814046,5,11.8,0
107,27145060,1498814066,20,13.1,0
108,27131806,1498814094,28,15.5,0
109,27145053,1498814105,11,16,0
110,27158307,1498814115,10,15.5,0
111,27171567,1498814119,4,14.2,0
112,27158300,1498814132,13,15.2,0
113,27145040,1498814155,23,16.8,0
114,27158294,1498814160,5,14.2,0
115,27171554,1498814163,3,12.2,0
116,27158287,1498814176,13,13,0
117,27171547,1498814183,7,11.7,0
118,27158280,1498814203,20,10.9,0
119,27171540,1498814208,5,10.3,0
120,27184807,1498814212,4,9.7,0
121,27171534,1498814246,34,12.7,0
122,27158267,1498814275,29,14.3,0
123,27171527,1498814279,4,12.4,0
124,27184794,1498814284,5,12.4,0
125,27171521,1498814306,22,14.3,0
126,27184788,1498814309,3,13.3,0
127,27198061,1498814311,2,12.8,0
128,27211341,1498814314,3,11.1,0
129,27224627,1498814317,3,10.9,0
130,27237920,1498814321,4,10.9,0
131,27224621,1498814343,22,9.7,0
132,27211328,1498814356,13,8.1,0
133,27198042,1498814373,17,9.4,0
134,27184762,1498814387,14,10.3,0
135,27198035,1498814392,5,8.6,0
136,27184755,1498814410,18,10.1,0
137,27171482,1498814465,55,15.4,0
138,27184749,1498814467,2,15.3,0
139,27198022,1498814473,6,15.6,0
140,27211302,1498814477,4,15.6,0
141,27198016,1498814494,17,15.1,0
142,27211296,1498814504,10,14.8,0
143,27224582,1498814514,10,14.1,0
144,27211289,1498814537,23,15,0
145,27198003,1498814553,16,16.1,0
146,27211283,1498814562,9,15.2,0
147,27224569,1498814567,5,10.2,0
148,27237862,1498814579,12,11.2,0
149,27251161,1498814581,2,10.8,0
150,27264467,1498814591,10,11.4,0
151,27277779,1498814599,8,10.5,0
152,27264460,1498814624,25,12,0
153,27251148,1498814652,28,13.8,0
154,27264454,1498814659,7,12.2,0
155,27251142,1498814682,23,12.9,0
156,27237836,1498814717,35,15.5,0
157,27224537,1498814740,23,17.3,0
158,27237830,1498814743,3,16.4,0
159,27251129,1498814748,5,16.7,0
160,27264435,1498814755,7,16.4,0
161,27251123,1498814778,23,17.9,0
162,27237817,1498814796,18,17.2,0
163,27251116,1498814805,9,15.3,0
164,27237810,1498814824,19,16.5,0
165,27251109,1498814827,3,14.5,0
166,27264415,1498814835,8,11.8,0
167,27277727,1498814838,3,9.8,0
168,27291046,1498814840,2,9.7,0
169,27304371,1498814843,3,9.5,0
170,27317703,1498814848,5,9.3,0
171,27331041,1498814858,10,8,0
172,27344386,1498814864,6,6.8,0
173,27357737,1498814873,9,6.8,0
174,27371095,1498814881,8,5.7,0
175,27384459,1498814892,11,6.5,0
176,27371088,1498814905,13,7,0
177,27357724,1498814942,37,10.4,0
178,27371082,1498814944,2,10.4,0
179,27357718,1498814960,16,11.7,0
180,27371076,1498814966,6,11.8,0
181,27357712,1498815016,50,15.8,0
182,27371070,1498815027,11,16.3,0
183,27357706,1498815053,26,18,0
184,27344348,1498815067,14,18.6,0
185,27357699,1498815070,3,17.8,0
186,27344341,1498815088,18,18.3,0
187,27330990,1498815105,17,16.3,0
188,27344335,1498815112,7,16.8,0
189,27357686,1498815115,3,15.5,0
190,27371044,1498815121,6,15.5,0
191,27357680,1498815148,27,13.2,0
192,27344322,1498815166,18,13.9,0
193,27330971,1498815192,26,13.9,0
194,27344316,1498815201,9,13.4,0
195,27357667,1498815209,8,13.9,0
196,27371025,1498815216,7,12.8,0
197,27384389,1498815222,6,11.7,0
198,27397760,1498815224,2,11.2,0
199,27411137,1498815226,2,11.1,0
200,27397753,1498815250,24,12.9,0
201,27411130,1498815255,5,10.7,0
202,27424514,1498815262,7,9.6,0
203,27437904,1498815263,1,7.1,0
204,27424507,1498815277,14,7.6,0
205,27411117,1498815297,20,8.8,0
206,27424501,1498815302,5,8.6,0
207,27437891,1498815314,12,9.2,0
208,27451288,1498815325,11,10.1,0
209,27437885,1498815344,19,11.8,0
210,27451282,1498815347,3,9.7,0
211,27464685,1498815354,7,9.9,0
212,27478095,1498815357,3,9.5,0
213,27491512,1498815365,8,10.2,0
214,27504935,1498815368,3,9.1,0
215,27518365,1498815380,12,8.3,0
216,27531801,1498815387,7,8.5,0
217,27545244,1498815397,10,8.3,0
218,27558693,1498815402,5,7.7,0
219,27545237,1498815416,14,7.2,0
220,27558686,1498815422,6,7.5,0
221,27572142,1498815430,8,7.6,0
222,27558680,1498815449,19,9.2,0
223,27572136,1498815460,11,9.5,0
224,27558674,1498815473,13,10.5,0
