num, diff, time, interval, avg
3,17154715646,1438270048,31,31
4,17146339321,1438270077,29,30
5,17154711556,1438270083,6,22
6,17146335232,1438270107,24,22.5
7,17154707466,1438270110,3,18.6
8,17163083788,1438270112,2,15.833333333333334
9,17171464200,1438270115,3,14
10,17163079696,1438270128,13,13.875
11,17171460106,1438270136,8,13.222222222222221
12,17179844608,1438270144,8,12.7
13,17171456012,1438270158,14,11
14,17179840512,1438270161,3,8.4
15,17188229106,1438270168,7,8.5
16,17196621795,1438270174,6,6.7
17,17205018582,1438270178,4,6.8
18,17213419469,1438270180,2,6.8
19,17221824458,1438270187,7,7.2
20,17230233551,1438270189,2,6.1
21,17238646750,1438270193,4,5.7
22,17247064057,1438270204,11,6
23,17255485474,1438270208,4,5
24,17263911004,1438270213,5,5.2
25,17272340648,1438270214,1,4.6
26,17280774408,1438270216,2,4.2
27,17289212286,1438270223,7,4.5
28,17297654284,1438270228,5,4.8
29,17306100404,1438270239,11,5.2
30,17314550648,1438270241,2,5.2
31,17323005018,1438270242,1,4.9
32,17331463516,1438270244,2,4
33,17339926144,1438270245,1,3.7
34,17348392904,1438270252,7,3.9
35,17356863798,1438270255,3,4.1
36,17365338829,1438270265,10,4.9
37,17373817998,1438270267,2,4.4
38,17382301307,1438270269,2,4.1
39,17390788758,1438270272,3,3.3
40,17399280354,1438270273,1,3.2
41,17407776096,1438270274,1,3.2
42,17416275986,1438270277,3,3.3
43,17424780027,1438270279,2,3.4
44,17433288220,1438270285,6,3.3
45,17441800567,1438270288,3,3.3
46,17450317071,1438270290,2,2.5
47,17458837733,1438270291,1,2.4
48,17467362556,1438270292,1,2.3
49,17475891541,1438270294,2,2.2
50,17484424691,1438270295,1,2.2
51,17492962007,1438270298,3,2.4
52,17501503492,1438270300,2,2.3
53,17510049148,1438270312,12,3.3
54,17518598976,1438270316,4,3.1
55,17527152979,1438270320,4,3.2
56,17535711159,1438270322,2,3.2
57,17544273517,1438270325,3,3.4
58,17552840056,1438270326,1,3.4
59,17561410778,1438270327,1,3.3
60,17569985685,1438270328,1,3.3
61,17578564779,1438270331,3,3.3
62,17587148062,1438270333,2,3.3
63,17595735536,1438270340,7,2.8
64,17604327203,1438270345,5,2.9
65,17612923065,1438270354,9,3.4
66,17621523125,1438270361,7,3.9
67,17630127384,1438270366,5,4.1
68,17638735844,1438270369,3,4.3
69,17647348507,1438270373,4,4.6
70,17655965376,1438270374,1,4.6
71,17664586452,1438270377,3,4.6
72,17673211738,1438270378,1,4.5
73,17681841235,1438270382,4,4.2
74,17690474946,1438270383,1,3.8
75,17699112873,1438270384,1,3
76,17707755017,1438270385,1,2.4
77,17716401381,1438270387,2,2.1
78,17725051967,1438270389,2,2
79,17733706777,1438270391,2,1.8
80,17742365813,1438270395,4,2.1
81,17751029077,1438270398,3,2.1
82,17759696571,1438270400,2,2.2
83,17768368297,1438270407,7,2.5
84,17777044258,1438270408,1,2.5
85,17785724455,1438270412,4,2.8
86,17794408890,1438270413,1,2.8
87,17803097566,1438270415,2,2.8
88,17811790484,1438270417,2,2.8
89,17820487647,1438270418,1,2.7
90,17829189056,1438270422,4,2.7
91,17837894714,1438270425,3,2.7
92,17846604623,1438270427,2,2.7
93,17855318785,1438270430,3,2.3
94,17864037202,1438270431,1,2.3
95,17872759876,1438270433,2,2.1
96,17881486809,1438270435,2,2.2
97,17890218003,1438270438,3,2.3
98,17898953461,1438270439,1,2.2
99,17907693184,1438270441,2,2.3
100,17916437174,1438270443,2,2.1
101,17925185434,1438270445,2,2
102,17933937965,1438270447,2,2
103,17942694770,1438270451,4,2.1
104,17951455851,1438270452,1,2.1
105,17960221210,1438270453,1,2
106,17968990849,1438270454,1,1.9
107,17977764770,1438270455,1,1.7
108,17986542975,1438270456,1,1.7
109,17995325466,1438270459,3,1.8
110,18004112246,1438270464,5,2.1
111,18012903316,1438270468,4,2.3
112,18021698678,1438270469,1,2.2
113,18030498335,1438270471,2,2
114,18039302289,1438270472,1,2
115,18048110542,1438270474,2,2.1
116,18056923095,1438270476,2,2.2
117,18065739951,1438270480,4,2.5
118,18074561113,1438270481,1,2.5
119,18083386582,1438270482,1,2.3
120,18092216360,1438270484,2,2
121,18101050450,1438270486,2,1.8
122,18109888853,1438270491,5,2.2
123,18118731572,1438270492,1,2.1
124,18127578608,1438270493,1,2.1
125,18136429964,1438270497,4,2.3
126,18145285642,1438270500,3,2.4
127,18154145644,1438270501,1,2.1
128,18163009972,1438270503,2,2.2
129,18171878629,1438270504,1,2.2
130,18180751616,1438270505,1,2.1
131,18189628936,1438270507,2,2.1
132,18198510590,1438270510,3,1.9
133,18207396581,1438270511,1,1.9
134,18216286911,1438270519,8,2.6
135,18225181582,1438270520,1,2.3
136,18234080596,1438270522,2,2.2
137,18242983955,1438270523,1,2.2
138,18251891662,1438270525,2,2.2
139,18260803718,1438270529,4,2.5
140,18269720126,1438270530,1,2.5
141,18278640887,1438270532,2,2.5
142,18287566004,1438270533,1,2.3
143,18296495479,1438270534,1,2.3
144,18305429314,1438270535,1,1.6
145,18314367511,1438270539,4,1.9
146,18323310073,1438270540,1,1.8
147,18332257001,1438270546,6,2.3
148,18341208298,1438270547,1,2.2
149,18350163966,1438270549,2,2
150,18359124006,1438270551,2,2.1
151,18368088422,1438270552,1,2
152,18377057215,1438270553,1,2
153,18386030387,1438270555,2,2.1
154,18395007940,1438270556,1,2.1
155,18403989877,1438270557,1,1.8
156,18412976200,1438270558,1,1.8
157,18421966911,1438270560,2,1.4
158,18430962012,1438270561,1,1.4
159,18439961505,1438270562,1,1.3
160,18448965392,1438270563,1,1.2
161,18457973675,1438270564,1,1.2
162,18466986357,1438270565,1,1.2
163,18476003440,1438270570,5,1.5
164,18485024926,1438270571,1,1.5
165,18494050817,1438270572,1,1.5
166,18503081115,1438270574,2,1.6
167,18512115822,1438270575,1,1.5
168,18521154941,1438270576,1,1.5
169,18530198473,1438270578,2,1.6
170,18539246421,1438270580,2,1.7
171,18548298787,1438270581,1,1.7
172,18557355573,1438270582,1,1.7
173,18566416781,1438270585,3,1.5
174,18575482414,1438270587,2,1.6
175,18584552473,1438270588,1,1.6
176,18593626961,1438270590,2,1.6
177,18602705880,1438270594,4,1.9
178,18611789232,1438270596,2,2
179,18620877019,1438270598,2,2
180,18629969244,1438270601,3,2.1
181,18639065908,1438270602,1,2.1
182,18648167014,1438270604,2,2.2
183,18657272564,1438270608,4,2.3
184,18666382560,1438270610,2,2.3
185,18675497004,1438270611,1,2.3
186,18684615899,1438270612,1,2.2
187,18693739246,1438270614,2,2
188,18702867048,1438270616,2,2
189,18711999307,1438270617,1,1.9
190,18721136025,1438270624,7,2.3
191,18730277204,1438270627,3,2.5
192,18739422847,1438270628,1,2.4
193,18748572955,1438270630,2,2.2
194,18757727531,1438270633,3,2.3
195,18766886577,1438270634,1,2.3
196,18776050095,1438270635,1,2.3
197,18785218088,1438270638,3,2.4
198,18794390557,1438270640,2,2.4
199,18803567505,1438270642,2,2.5
200,18812748934,1438270646,4,2.2
201,18821934846,1438270647,1,2
202,18831125243,1438270648,1,2
203,18840320128,1438270649,1,1.9
204,18849519503,1438270650,1,1.7
205,18858723369,1438270651,1,1.7
206,18867931730,1438270652,1,1.7
207,18877144587,1438270654,2,1.6
208,18886361942,1438270657,3,1.7
209,18895583798,1438270664,7,2.2
210,18904810157,1438270668,4,2.2
211,18914041021,1438270671,3,2.4
212,18923276392,1438270672,1,2.4
213,18932516273,1438270674,2,2.5
214,18941760665,1438270675,1,2.5
215,18951009571,1438270676,1,2.5
216,18960262993,1438270678,2,2.6
217,18969520933,1438270680,2,2.6
218,18978783394,1438270682,2,2.5
219,18988050378,1438270683,1,1.9
220,18997321886,1438270684,1,1.6
221,19006597922,1438270685,1,1.4
222,19015878487,1438270689,4,1.7
223,19025163583,1438270692,3,1.8
224,19034453213,1438270693,1,1.8
225,19043747379,1438270695,2,1.9
226,19053046083,1438270697,2,1.9
227,19062349328,1438270698,1,1.8
228,19071657115,1438270701,3,1.9
229,19080969447,1438270702,1,1.9
230,19090286326,1438270704,2,2
231,19099607754,1438270706,2,2.1
232,19108933734,1438270707,1,1.8
233,19118264268,1438270708,1,1.6
234,19127599357,1438270711,3,1.8
235,19136939005,1438270713,2,1.8
236,19146283213,1438270715,2,1.8
237,19155631984,1438270719,4,2.1
238,19164985319,1438270722,3,2.1
239,19174343221,1438270723,1,2.1
240,19183705693,1438270725,2,2.1
241,19193072736,1438270728,3,2.2
242,19202444353,1438270729,1,2.2
243,19211820546,1438270731,2,2.3
244,19221201317,1438270734,3,2.3
245,19230586669,1438270737,3,2.4
246,19239976603,1438270738,1,2.3
247,19249371122,1438270739,1,2
248,19258770228,1438270740,1,1.8
249,19268173924,1438270741,1,1.8
250,19277582212,1438270742,1,1.7
251,19286995093,1438270744,2,1.6
252,19296412571,1438270745,1,1.6
253,19305834647,1438270746,1,1.5
254,19315261324,1438270748,2,1.4
255,19324692603,1438270751,3,1.4
256,19334128488,1438270752,1,1.4
257,19343568980,1438270753,1,1.4
258,19353014082,1438270754,1,1.4
259,19362463795,1438270755,1,1.4
260,19371918123,1438270756,1,1.4
261,19381377067,1438270758,2,1.4
262,19390840630,1438270759,1,1.4
263,19400308813,1438270762,3,1.6
264,19409781620,1438270764,2,1.6
265,19419259052,1438270766,2,1.5
266,19428741112,1438270770,4,1.8
267,19438227801,1438270771,1,1.8
268,19447719123,1438270773,2,1.9
269,19457215079,1438270775,2,2
270,19466715672,1438270776,1,2
271,19476220904,1438270779,3,2.1
272,19485730777,1438270780,1,2.1
273,19495245293,1438270783,3,2.1
274,19504764455,1438270785,2,2.1
275,19514288265,1438270789,4,2.3
276,19523816726,1438270791,2,2.1
277,19533349839,1438270793,2,2.2
278,19542887607,1438270794,1,2.1
279,19552430032,1438270796,2,2.1
280,19561977116,1438270797,1,2.1
281,19571528862,1438270799,2,2
282,19581085272,1438270804,5,2.4
283,19590646348,1438270805,1,2.2
284,19600212093,1438270806,1,2.1
285,19609782509,1438270808,2,1.9
286,19619357598,1438270811,3,2
287,19628937362,1438270813,2,2
288,19638521804,1438270814,1,2
289,19648110925,1438270815,1,1.9
290,19657704729,1438270818,3,2.1
291,19667303217,1438270820,2,2.1
292,19676906392,1438270824,4,2
293,19686514256,1438270825,1,2
294,19696126811,1438270826,1,2
295,19705744060,1438270832,6,2.4
296,19715366005,1438270834,2,2.3
297,19724992648,1438270839,5,2.6
298,19734623992,1438270846,7,3.2
299,19744260038,1438270847,1,3.2
300,19753900789,1438270848,1,3
301,19763546248,1438270849,1,2.9
302,19773196417,1438270851,2,2.7
303,19782851298,1438270854,3,2.9
304,19792510893,1438270857,3,3.1
305,19802175204,1438270858,1,2.6
306,19811844234,1438270862,4,2.8
307,19821517986,1438270864,2,2.5
308,19831196461,1438270866,2,2
309,19840879662,1438270867,1,2
310,19850567591,1438270869,2,2.1
311,19860260250,1438270870,1,2.1
312,19869957642,1438270872,2,2.1
313,19879659769,1438270875,3,2.1
314,19889366634,1438270877,2,2
315,19899078238,1438270880,3,2.2
316,19908794584,1438270881,1,1.9
317,19918515675,1438270882,1,1.8
318,19928241512,1438270883,1,1.7
319,19937972098,1438270885,2,1.8
320,19947707435,1438270890,5,2.1
321,19957447526,1438270892,2,2.2
322,19967192373,1438270895,3,2.3
323,19976941978,1438270896,1,2.1
324,19986696344,1438270898,2,2.1
325,19996455473,1438270900,2,2
326,20006219367,1438270901,1,2
327,20015988028,1438270903,2,2.1
328,20025761459,1438270904,1,2.1
329,20035539662,1438270905,1,2
330,20045322640,1438270906,1,1.6
