num, diff, time, interval, avg, miner,malicious
3,26960470,1498823228,53,53,0x2efb908286dccbf0a32455316d086cd5615dbb79,0
4,26947306,1498823261,33,43,0x7d00c61790ffed3ef521b50c63382266dff6de3d,0
5,26960463,1498823269,8,31.33333333,0x1c9c55dae9cecbb04d2d22ea0cb27d24d69f6f40,0
6,26973627,1498823274,5,24.75,0x1c9c55dae9cecbb04d2d22ea0cb27d24d69f6f40,0
7,26960457,1498823290,16,23,0xdd76bbad7927b29b38d09d65cb6aa84bbfb7006a,0
8,26947293,1498823339,49,27.33333333,0xf36304acd2cf150e5659224ddfec00d93f4ff720,0
9,26934136,1498823386,47,30.14285714,0x4881e37cae4001b1896ac5bf71046745f10d306d,0
10,26947287,1498823389,3,26.75,0xa6996d69f0bfa4580e1e27e5f71b48f9ef40be34,0
11,26934130,1498823404,15,25.44444444,0xc47f2e10dce20c0e73ed6d5828b5c37534f1378b,0
12,26920979,1498823431,27,25.6,0x9c8ec6f94d015f8f58c4de3848f5475b0683e28e,0
13,26934124,1498823436,5,20.8,0xc17c16428a75dfb43db325115842b2eff1963208,0
14,26920973,1498823449,13,18.8,0x762639804043e196cb12bbaab6e585f8001fa1a3,0
15,26907828,1498823470,21,20.1,0x8f37e62444739be0193dac302098e3edefff7e49,0
16,26920966,1498823478,8,20.4,0x8709ff37502d642a70e5c35a8a1cedf61bf90999,0
17,26907821,1498823502,24,21.2,0xc47f2e10dce20c0e73ed6d5828b5c37534f1378b,0
18,26894683,1498823517,15,17.8,0x49cd2c3933db5d91f4b97a50438c823dc38e5a8c,0
19,26881551,1498823532,15,14.6,0xf36304acd2cf150e5659224ddfec00d93f4ff720,0
20,26894676,1498823538,6,14.9,0x5a3faeed2ce5d1a9ae1b45d8bf544cb522ae386a,0
21,26907808,1498823540,2,13.6,0x8709ff37502d642a70e5c35a8a1cedf61bf90999,0
22,26920946,1498823551,11,12,0x0bd0be4fd5675d36fad9ab4646f78c3f11294e78,0
23,26934090,1498823562,11,12.6,0x5a3faeed2ce5d1a9ae1b45d8bf544cb522ae386a,0
24,26947241,1498823567,5,11.8,0xb69bd984c5e7b3f857524379e08a6e891f8e8752,0
25,26934084,1498823603,36,13.3,0xf36304acd2cf150e5659224ddfec00d93f4ff720,0
26,26947235,1498823609,6,13.1,0xe8a57f00f0ed244fc1dd15ab028428ee5a7a2aa0,0
27,26934078,1498823624,15,12.2,0x7d00c61790ffed3ef521b50c63382266dff6de3d,0
28,26947229,1498823629,5,11.2,0xac90a8f93400ff46e3b78ed5b537871146744b4a,0
29,26960386,1498823635,6,10.3,0x10c146a74cd0ce2dfba423014f1804d0a1af8374,0
30,26947222,1498823654,19,11.6,0x627c16425aecabc69ca57e74605714d90af19555,0
31,26960379,1498823657,3,11.7,0xe2fc84aa287c3f933dd1ab442da97cf0592a5ca3,0
32,26947215,1498823670,13,11.9,0x10c146a74cd0ce2dfba423014f1804d0a1af8374,0
33,26960372,1498823678,8,11.6,0xc47f2e10dce20c0e73ed6d5828b5c37534f1378b,0
34,26947208,1498823697,19,13,0xf56fb7ccc4ab6afa4f55b53cab48a4d7ea23a9a0,0
35,26960365,1498823701,4,9.8,0xa44cf5b46145ca9ebe6bfd7dff70c539797866fc,0
36,26973529,1498823708,7,9.9,0xa6996d69f0bfa4580e1e27e5f71b48f9ef40be34,0
37,26986699,1498823719,11,9.5,0xe8a57f00f0ed244fc1dd15ab028428ee5a7a2aa0,0
38,26973522,1498823735,16,10.6,0xc47f2e10dce20c0e73ed6d5828b5c37534f1378b,0
39,26986692,1498823746,11,11.1,0x410576b6e743bdd4e7e7d9ee49f369c790f68fbc,0
